n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
5,number,3,R Q X L,XQRL,high_load,5,green,yellow,1,1,6,4,green,green,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
5,number,3,M F B J,BFMJ,high_load,5,green,blue,1,1,6,4,green,green,blue,blue,inferior,n-3,300,50,300,250,400,150,200,150
5,number,3,M H L R,LHMR,high_load,5,green,red,1,4,4,6,green,green,red,red,intermediate,n,300,50,300,250,400,150,200,150
5,number,3,B R F Q,FRBQ,high_load,5,blue,black,2,3,4,5,blue,blue,black,black,intermediate,n,400,150,200,150,300,250,300,50
5,number,3,L X J R,JXLR,high_load,5,green,red,5,3,6,1,green,green,red,red,superior,n+3,300,50,300,250,400,150,200,150
5,number,3,M F H B,HFMB,high_load,5,blue,black,6,2,3,2,blue,blue,black,black,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,3,F H B R,BHFR,high_load,Some,red,blue,6,5,2,1,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
Some,Some,3,Q H L X,LHQX,high_load,Some,red,yellow,6,3,4,2,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
Some,Some,3,X L F R,FLXR,high_load,Some,green,yellow,1,5,3,6,green,green,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
Some,Some,3,Q M R F,RMQF,high_load,Some,green,red,6,2,3,5,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,3,X B L R,LBXR,high_load,Some,green,red,4,1,6,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,3,F B J X,JBFX,high_load,Some,red,yellow,2,5,3,6,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,3,L M J H,JMLH,high_load,Some,green,blue,1,6,5,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,3,X B H R,HBXR,high_load,Some,green,red,3,4,2,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,3,M F L H,LFMH,high_load,All,blue,gray,2,3,6,5,blue,blue,gray,gray,partial,partial,400,150,200,150,300,250,300,50
All,All,3,M H X L,XHML,high_load,All,blue,yellow,5,6,2,2,blue,blue,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
All,All,3,X H L M,LHXM,high_load,All,green,red,3,5,5,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,3,X L Q F,QLXF,high_load,All,blue,black,2,6,3,3,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,3,X B Q H,QBXH,high_load,2,green,black,1,6,3,2,green,black,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,3,L B H R,HBLR,high_load,8,red,purple,5,3,3,4,red,red,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,3,F R M X,MRFX,high_load,10,red,gray,5,1,4,3,red,red,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,3,L J F R,FJLR,high_load,12,green,purple,6,6,2,1,green,green,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
Between 3 and 5,filler_item,3,F R X J,XRFJ,high_load,Between 3 and 5,green,purple,3,5,3,3,green,green,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
More than 2,filler_item,3,F M H J,HMFJ,high_load,More than 2,blue,yellow,1,5,3,4,blue,yellow,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,4,J H Q F,QHJF,high_load,4,blue,gray,1,5,4,3,blue,gray,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
4,number,4,F Q B H,BQFH,high_load,4,red,gray,1,6,4,3,red,gray,gray,gray,inferior,n-3,400,150,200,150,300,250,300,50
4,number,4,H F M J,MFHJ,high_load,4,blue,gray,3,1,5,6,blue,blue,gray,gray,intermediate,n,300,50,300,250,400,150,200,150
4,number,4,X J R H,RJXH,high_load,4,green,blue,3,1,5,6,green,green,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
4,number,4,X H F J,FHXJ,high_load,4,blue,yellow,4,3,2,4,blue,blue,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
4,number,4,L R H X,HRLX,high_load,4,blue,yellow,2,5,3,5,blue,blue,yellow,yellow,superior,n+3,300,50,300,250,400,150,200,150
5,number,4,L B J Q,JBLQ,high_load,5,blue,black,1,1,5,5,blue,blue,black,black,inferior,n-3,300,50,300,250,400,150,200,150
5,number,4,M J R L,RJML,high_load,5,red,green,1,1,6,6,red,red,green,green,inferior,n-3,300,50,300,250,400,150,200,150
5,number,4,B X Q J,QXBJ,high_load,5,blue,black,3,2,4,3,blue,blue,black,black,intermediate,n,400,150,200,150,300,250,300,50
5,number,4,F Q L X,LQFX,high_load,5,blue,red,4,1,6,4,blue,blue,red,red,intermediate,n,300,50,300,250,400,150,200,150
5,number,4,J F X H,XFJH,high_load,5,red,gray,5,3,6,2,red,red,gray,gray,superior,n+3,300,50,300,250,400,150,200,150
5,number,4,H F L J,LFHJ,high_load,5,red,gray,2,6,2,6,red,red,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,4,F J R L,RJFL,high_load,Some,red,green,2,3,5,6,green,green,green,green,null,null,300,50,300,250,400,150,200,150
