n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
8,filler_item,4,L J,JL,low_load,8,blue,red,2,6,4,3,blue,blue,red,red,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,4,B Q,QB,low_load,10,red,purple,5,1,2,5,red,red,purple,purple,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,4,X B,BX,low_load,12,green,yellow,6,6,1,3,green,green,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,5,F H,HF,low_load,4,red,yellow,1,6,6,1,red,yellow,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
4,number,5,L R,RL,low_load,4,blue,yellow,1,1,5,5,blue,blue,yellow,yellow,inferior,n-2,300,50,300,250,400,150,200,150
4,number,5,X Q,QX,low_load,4,green,purple,1,2,6,5,green,green,purple,purple,inferior,n-1,400,150,200,150,300,250,300,50
4,number,5,R L,LR,low_load,4,green,purple,1,3,3,5,green,green,purple,purple,intermediate,n,400,150,200,150,300,250,300,50
4,number,5,Q M,MQ,low_load,4,green,blue,3,2,5,4,green,green,blue,blue,superior,n+1,400,150,200,150,300,250,300,50
4,number,5,Q F,FQ,low_load,4,blue,green,1,5,4,3,blue,blue,green,green,superior,n+2,300,50,300,250,400,150,200,150
4,number,5,J H,HJ,low_load,4,green,purple,6,1,4,2,green,green,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
5,number,5,B J,JB,low_load,5,green,yellow,1,1,5,5,green,green,yellow,yellow,inferior,n-3,300,50,300,250,400,150,200,150
5,number,5,B R,RB,low_load,5,red,blue,2,1,5,5,red,red,blue,blue,inferior,n-2,300,50,300,250,400,150,200,150
5,number,5,X M,MX,low_load,5,red,black,1,3,4,5,red,red,black,black,inferior,n-1,300,50,300,250,400,150,200,150
5,number,5,M L,LM,low_load,5,blue,green,3,2,3,6,blue,blue,green,green,intermediate,n,300,50,300,250,400,150,200,150
5,number,5,Q R,RQ,low_load,5,red,purple,2,4,4,6,red,red,purple,purple,superior,n+1,400,150,200,150,300,250,300,50
5,number,5,H L,LH,low_load,5,red,black,4,3,1,6,red,red,black,black,superior,n+2,400,150,200,150,300,250,300,50
5,number,5,H X,XH,low_load,5,green,red,6,2,3,3,green,green,red,red,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,5,R L,LR,low_load,Some,green,blue,2,6,5,1,blue,blue,blue,blue,null,null,400,150,200,150,300,250,300,50
Some,Some,5,L M,ML,low_load,Some,red,black,2,3,5,3,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,5,M X,XM,low_load,Some,blue,yellow,4,4,2,2,blue,blue,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
Some,Some,5,J Q,QJ,low_load,Some,green,blue,1,6,5,4,green,green,blue,blue,partial,partial,400,150,200,150,300,250,300,50
Some,Some,5,M F,FM,low_load,Some,red,green,3,3,2,5,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,5,R L,LR,low_load,Some,green,blue,6,1,2,5,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,Q R,RQ,low_load,All,green,purple,3,2,5,6,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
All,All,5,L J,JL,low_load,All,red,green,2,5,6,3,green,green,green,green,null,null,400,150,200,150,300,250,300,50
All,All,5,J H,HJ,low_load,All,red,green,3,4,2,4,red,red,green,green,partial,partial,400,150,200,150,300,250,300,50
All,All,5,X J,JX,low_load,All,green,yellow,3,1,5,3,green,green,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
All,All,5,H B,BH,low_load,All,red,green,2,3,2,6,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,R J,JR,low_load,All,green,black,5,2,5,1,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,5,B M,MB,low_load,2,green,black,1,2,6,3,green,black,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,5,Q J,JQ,low_load,8,green,yellow,2,6,3,2,green,green,yellow,yellow,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,5,H Q,QH,low_load,10,green,black,4,2,2,6,green,green,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,5,F M,MF,low_load,12,blue,red,6,6,3,1,blue,blue,red,red,filler_item,filler_item,300,50,300,250,400,150,200,150
