n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,4,X B H,HBX,high_load,Four,blue,green,1,1,5,5,blue,blue,green,green,inferior,n-2,300,50,300,250,400,150,200,150
4,number,4,R H B,BHR,high_load,Four,green,black,2,1,6,5,green,green,black,black,inferior,n-1,300,50,300,250,400,150,200,150
4,number,4,R X H,HXR,high_load,Four,red,blue,1,3,4,5,red,red,blue,blue,intermediate,n,300,50,300,250,400,150,200,150
4,number,4,F Q J,JQF,high_load,Four,red,purple,3,2,4,4,red,red,purple,purple,superior,n+1,300,50,300,250,400,150,200,150
4,number,4,F Q R,RQF,high_load,Four,blue,yellow,5,1,4,3,blue,blue,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
4,number,4,R F B,BFR,high_load,Four,blue,green,1,6,6,1,blue,blue,green,green,superior,n+3,400,150,200,150,300,250,300,50
5,number,4,R J L,LJR,high_load,Five,red,gray,1,1,6,4,red,red,gray,gray,inferior,n-3,400,150,200,150,300,250,300,50
5,number,4,M B H,HBM,high_load,Five,green,purple,1,2,3,6,green,green,purple,purple,inferior,n-2,300,50,300,250,400,150,200,150
5,number,4,Q H J,JHQ,high_load,Five,blue,black,1,3,6,2,blue,blue,black,black,inferior,n-1,400,150,200,150,300,250,300,50
5,number,4,H L J,JLH,high_load,Five,green,blue,1,4,6,4,green,green,blue,blue,intermediate,n,400,150,200,150,300,250,300,50
5,number,4,M R F,FRM,high_load,Five,green,black,2,4,3,5,green,green,black,black,superior,n+1,300,50,300,250,400,150,200,150
5,number,4,F B X,XBF,high_load,Five,green,red,3,4,3,4,green,green,red,red,superior,n+2,300,50,300,250,400,150,200,150
5,number,4,X Q M,MQX,high_load,Five,green,yellow,2,6,2,5,green,green,yellow,yellow,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,4,L X F,FXL,high_load,Some,blue,green,5,4,3,2,green,green,green,green,null,null,300,50,300,250,400,150,200,150
Some,Some,4,B M F,FMB,high_load,Some,blue,green,1,3,6,4,green,green,green,green,null,null,300,50,300,250,400,150,200,150
Some,Some,4,H L F,FLH,high_load,Some,red,black,4,3,5,4,red,red,black,black,partial,partial,400,150,200,150,300,250,300,50
Some,Some,4,L X M,MXL,high_load,Some,red,green,5,5,1,1,red,red,green,green,partial,partial,300,50,300,250,400,150,200,150
Some,Some,4,F M J,JMF,high_load,Some,blue,black,6,3,5,2,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
Some,Some,4,B L X,XLB,high_load,Some,blue,green,2,6,1,3,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
All,All,4,F J Q,QJF,high_load,All,red,green,4,3,5,1,green,green,green,green,null,null,400,150,200,150,300,250,300,50
All,All,4,F B J,JBF,high_load,All,blue,black,4,1,4,6,black,black,black,black,null,null,400,150,200,150,300,250,300,50
All,All,4,H X B,BXH,high_load,All,green,red,6,2,3,5,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
All,All,4,B R H,HRB,high_load,All,red,yellow,4,4,2,3,red,red,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
All,All,4,R M B,BMR,high_load,All,red,black,3,5,3,3,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,4,M H B,BHM,high_load,All,blue,black,3,3,4,5,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,4,X H R,RHX,high_load,Two,blue,green,1,4,3,6,blue,green,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,4,L Q M,MQL,high_load,Eight,green,purple,6,2,6,1,green,green,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,4,F Q J,JQF,high_load,Six,red,green,1,5,6,2,red,red,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,4,Q J H,HJQ,high_load,Twelve,red,gray,6,6,1,3,red,red,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,5,L H R,RHL,high_load,Four,green,purple,1,2,5,5,green,purple,purple,purple,inferior,n-3,400,150,200,150,300,250,300,50
4,number,5,X J R,RJX,high_load,Four,green,purple,1,1,6,5,green,green,purple,purple,inferior,n-2,300,50,300,250,400,150,200,150
4,number,5,R Q H,HQR,high_load,Four,blue,red,2,1,6,6,blue,blue,red,red,inferior,n-1,400,150,200,150,300,250,300,50
4,number,5,Q L F,FLQ,high_load,Four,red,black,3,1,6,2,red,red,black,black,intermediate,n,300,50,300,250,400,150,200,150
4,number,5,B F L,LFB,high_load,Four,blue,yellow,2,3,2,6,blue,blue,yellow,yellow,superior,n+1,400,150,200,150,300,250,300,50
4,number,5,X L Q,QLX,high_load,Four,green,yellow,5,1,5,1,green,green,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
4,number,5,X R J,JRX,high_load,Four,red,gray,1,6,2,5,red,red,gray,gray,superior,n+3,300,50,300,250,400,150,200,150
5,number,5,L F J,JFL,high_load,Five,green,blue,1,1,4,6,green,green,blue,blue,inferior,n-3,400,150,200,150,300,250,300,50
5,number,5,M L H,HLM,high_load,Five,green,purple,1,2,6,4,green,green,purple,purple,inferior,n-2,400,150,200,150,300,250,300,50
5,number,5,Q X F,FXQ,high_load,Five,green,red,1,3,5,5,green,green,red,red,inferior,n-1,300,50,300,250,400,150,200,150
5,number,5,J B R,RBJ,high_load,Five,green,blue,3,2,2,6,green,green,blue,blue,intermediate,n,300,50,300,250,400,150,200,150
5,number,5,Q B R,RBQ,high_load,Five,red,blue,2,4,4,4,red,red,blue,blue,superior,n+1,400,150,200,150,300,250,300,50
5,number,5,Q F B,BFQ,high_load,Five,blue,yellow,1,6,3,3,blue,blue,yellow,yellow,superior,n+2,400,150,200,150,300,250,300,50
5,number,5,B H X,XHB,high_load,Five,green,blue,6,2,3,5,green,green,blue,blue,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,5,J L X,XLJ,high_load,Some,green,red,1,6,5,1,red,red,red,red,null,null,400,150,200,150,300,250,300,50
Some,Some,5,R X H,HXR,high_load,Some,green,yellow,2,2,4,6,yellow,yellow,yellow,yellow,null,null,300,50,300,250,400,150,200,150
Some,Some,5,F H L,LHF,high_load,Some,blue,red,4,2,6,3,blue,blue,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,5,F R M,MRF,high_load,Some,green,yellow,1,3,6,6,green,green,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
Some,Some,5,H F B,BFH,high_load,Some,green,blue,5,4,1,4,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
