n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
12,filler_item,2,R M,MR,low_load,Twelve,red,green,6,6,1,2,red,red,green,green,filler_item,filler_item,300,50,300,250,400,150,200,150
4,number,3,L X,XL,low_load,Four,blue,red,1,6,1,6,blue,red,red,red,inferior,n-3,400,150,200,150,300,250,300,50
4,number,3,X R,RX,low_load,Four,blue,green,1,1,5,5,blue,blue,green,green,inferior,n-2,400,150,200,150,300,250,300,50
4,number,3,M R,RM,low_load,Four,green,blue,1,2,6,5,green,green,blue,blue,inferior,n-1,300,50,300,250,400,150,200,150
4,number,3,B H,HB,low_load,Four,green,black,3,1,6,3,green,green,black,black,intermediate,n,300,50,300,250,400,150,200,150
4,number,3,M L,LM,low_load,Four,green,black,3,2,4,3,green,green,black,black,superior,n+1,400,150,200,150,300,250,300,50
4,number,3,L H,HL,low_load,Four,red,green,5,1,3,4,red,red,green,green,superior,n+2,400,150,200,150,300,250,300,50
4,number,3,F J,JF,low_load,Four,red,gray,5,2,4,2,red,red,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
5,number,3,H M,MH,low_load,Five,green,yellow,1,1,6,4,green,green,yellow,yellow,inferior,n-3,400,150,200,150,300,250,300,50
5,number,3,X H,HX,low_load,Five,blue,green,1,2,3,6,blue,blue,green,green,inferior,n-2,400,150,200,150,300,250,300,50
5,number,3,L X,XL,low_load,Five,green,purple,3,1,6,6,green,green,purple,purple,inferior,n-1,300,50,300,250,400,150,200,150
5,number,3,X J,JX,low_load,Five,green,blue,2,3,2,5,green,green,blue,blue,intermediate,n,300,50,300,250,400,150,200,150
5,number,3,J R,RJ,low_load,Five,blue,red,2,4,5,2,blue,blue,red,red,superior,n+1,300,50,300,250,400,150,200,150
5,number,3,R H,HR,low_load,Five,blue,gray,1,6,3,6,blue,blue,gray,gray,superior,n+2,300,50,300,250,400,150,200,150
5,number,3,M X,XM,low_load,Five,red,black,6,2,2,3,red,red,black,black,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,3,M R,RM,low_load,Some,red,yellow,6,4,1,5,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
Some,Some,3,L B,BL,low_load,Some,blue,black,2,5,3,3,black,black,black,black,null,null,400,150,200,150,300,250,300,50
Some,Some,3,F Q,QF,low_load,Some,green,purple,3,6,5,1,green,green,purple,purple,partial,partial,300,50,300,250,400,150,200,150
Some,Some,3,X B,BX,low_load,Some,green,black,6,1,5,4,green,green,black,black,partial,partial,300,50,300,250,400,150,200,150
Some,Some,3,R H,HR,low_load,Some,green,yellow,4,5,3,2,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,3,J M,MJ,low_load,Some,blue,gray,4,2,3,5,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
All,All,3,X H,HX,low_load,All,red,gray,2,1,6,5,gray,gray,gray,gray,null,null,300,50,300,250,400,150,200,150
All,All,3,X H,HX,low_load,All,green,purple,3,6,3,3,purple,purple,purple,purple,null,null,300,50,300,250,400,150,200,150
All,All,3,Q B,BQ,low_load,All,red,black,4,5,5,2,red,red,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,3,L M,ML,low_load,All,red,yellow,3,6,2,2,red,red,yellow,yellow,partial,partial,300,50,300,250,400,150,200,150
All,All,3,M R,RM,low_load,All,blue,green,3,4,2,6,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
All,All,3,R F,FR,low_load,All,blue,black,4,2,2,5,blue,blue,blue,blue,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,3,Q H,HQ,low_load,Two,red,blue,1,4,2,5,red,blue,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,3,L H,HL,low_load,Eight,green,black,6,2,6,2,green,green,black,black,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,3,B X,XB,low_load,Six,blue,gray,5,1,4,2,blue,blue,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,3,B R,RB,low_load,Twelve,blue,green,6,6,1,3,blue,blue,green,green,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,4,R H,HR,low_load,Four,blue,gray,1,5,1,5,blue,gray,gray,gray,inferior,n-3,300,50,300,250,400,150,200,150
4,number,4,J B,BJ,low_load,Four,green,purple,1,1,5,5,green,green,purple,purple,inferior,n-2,400,150,200,150,300,250,300,50
4,number,4,X L,LX,low_load,Four,red,gray,1,2,5,4,red,red,gray,gray,inferior,n-1,400,150,200,150,300,250,300,50
4,number,4,M H,HM,low_load,Four,blue,green,3,1,6,6,blue,blue,green,green,intermediate,n,400,150,200,150,300,250,300,50
4,number,4,R H,HR,low_load,Four,red,yellow,3,2,5,2,red,red,yellow,yellow,superior,n+1,400,150,200,150,300,250,300,50
4,number,4,R M,MR,low_load,Four,green,yellow,1,5,3,5,green,green,yellow,yellow,superior,n+2,400,150,200,150,300,250,300,50
4,number,4,R X,XR,low_load,Four,blue,green,2,5,1,6,blue,blue,green,green,superior,n+3,300,50,300,250,400,150,200,150
5,number,4,R H,HR,low_load,Five,red,purple,1,1,6,4,red,red,purple,purple,inferior,n-3,300,50,300,250,400,150,200,150
5,number,4,Q M,MQ,low_load,Five,blue,gray,1,2,3,6,blue,blue,gray,gray,inferior,n-2,400,150,200,150,300,250,300,50
5,number,4,L R,RL,low_load,Five,red,purple,1,3,4,5,red,red,purple,purple,inferior,n-1,400,150,200,150,300,250,300,50
5,number,4,R L,LR,low_load,Five,green,yellow,2,3,4,3,green,green,yellow,yellow,intermediate,n,400,150,200,150,300,250,300,50
5,number,4,J R,RJ,low_load,Five,blue,green,2,4,6,2,blue,blue,green,green,superior,n+1,300,50,300,250,400,150,200,150
5,number,4,Q L,LQ,low_load,Five,blue,green,6,1,4,3,blue,blue,green,green,superior,n+2,400,150,200,150,300,250,300,50
5,number,4,X B,BX,low_load,Five,green,purple,2,6,4,1,green,green,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,4,F M,MF,low_load,Some,blue,red,6,6,1,2,red,red,red,red,null,null,300,50,300,250,400,150,200,150
Some,Some,4,H M,MH,low_load,Some,blue,yellow,4,5,4,2,yellow,yellow,yellow,yellow,null,null,400,150,200,150,300,250,300,50
Some,Some,4,Q B,BQ,low_load,Some,red,blue,2,6,5,3,red,red,blue,blue,partial,partial,300,50,300,250,400,150,200,150
Some,Some,4,F L,LF,low_load,Some,green,blue,6,1,3,2,green,green,blue,blue,partial,partial,300,50,300,250,400,150,200,150
Some,Some,4,L X,XL,low_load,Some,green,blue,5,2,4,4,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,4,B Q,QB,low_load,Some,red,gray,6,1,5,4,red,red,red,red,total_target,total_target,400,150,200,150,300,250,300,50
All,All,4,R J,JR,low_load,All,red,green,4,3,1,5,green,green,green,green,null,null,300,50,300,250,400,150,200,150
All,All,4,J X,XJ,low_load,All,green,blue,6,5,1,3,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
All,All,4,L F,FL,low_load,All,blue,black,3,6,3,1,blue,blue,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,4,X Q,QX,low_load,All,green,black,6,3,3,2,green,green,black,black,partial,partial,400,150,200,150,300,250,300,50
All,All,4,Q B,BQ,low_load,All,green,purple,5,2,6,2,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,4,F B,BF,low_load,All,green,red,2,6,6,2,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
2,filler_item,4,B Q,QB,low_load,Two,blue,red,1,2,5,5,blue,red,red,red,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,4,R Q,QR,low_load,Eight,red,blue,6,2,1,6,red,red,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
10,filler_item,4,J B,BJ,low_load,Six,green,black,4,2,1,6,green,green,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
12,filler_item,4,J R,RJ,low_load,Twelve,blue,black,6,6,1,2,blue,blue,black,black,filler_item,filler_item,400,150,200,150,300,250,300,50
4,number,5,L X,XL,low_load,Four,red,green,1,3,6,4,red,green,green,green,inferior,n-3,400,150,200,150,300,250,300,50
4,number,5,H M,MH,low_load,Four,green,purple,1,1,4,6,green,green,purple,purple,inferior,n-2,300,50,300,250,400,150,200,150
4,number,5,B X,XB,low_load,Four,red,blue,2,1,5,4,red,red,blue,blue,inferior,n-1,400,150,200,150,300,250,300,50
4,number,5,R B,BR,low_load,Four,red,green,3,1,6,4,red,red,green,green,intermediate,n,300,50,300,250,400,150,200,150
4,number,5,X F,FX,low_load,Four,blue,black,3,2,2,6,blue,blue,black,black,superior,n+1,400,150,200,150,300,250,300,50
4,number,5,B H,HB,low_load,Four,green,red,1,5,6,3,green,green,red,red,superior,n+2,300,50,300,250,400,150,200,150
4,number,5,F H,HF,low_load,Four,blue,gray,5,2,6,2,blue,blue,gray,gray,superior,n+3,400,150,200,150,300,250,300,50
5,number,5,F B,BF,low_load,Five,red,black,1,1,5,5,red,red,black,black,inferior,n-3,300,50,300,250,400,150,200,150
5,number,5,R L,LR,low_load,Five,green,purple,1,2,4,5,green,green,purple,purple,inferior,n-2,300,50,300,250,400,150,200,150
5,number,5,M Q,QM,low_load,Five,green,yellow,3,1,6,4,green,green,yellow,yellow,inferior,n-1,300,50,300,250,400,150,200,150
5,number,5,J L,LJ,low_load,Five,blue,gray,2,3,3,6,blue,blue,gray,gray,intermediate,n,400,150,200,150,300,250,300,50
5,number,5,X H,HX,low_load,Five,red,blue,2,4,6,2,red,red,blue,blue,superior,n+1,400,150,200,150,300,250,300,50
5,number,5,Q M,MQ,low_load,Five,blue,green,6,1,4,4,blue,blue,green,green,superior,n+2,400,150,200,150,300,250,300,50
5,number,5,B Q,QB,low_load,Five,green,red,6,2,4,2,green,green,red,red,superior,n+3,300,50,300,250,400,150,200,150
Some,Some,5,J L,LJ,low_load,Some,blue,red,2,3,5,2,red,red,red,red,null,null,400,150,200,150,300,250,300,50
Some,Some,5,F B,BF,low_load,Some,red,black,2,3,6,5,black,black,black,black,null,null,300,50,300,250,400,150,200,150
Some,Some,5,X F,FX,low_load,Some,blue,gray,1,3,5,5,blue,blue,gray,gray,partial,partial,300,50,300,250,400,150,200,150
Some,Some,5,B L,LB,low_load,Some,green,red,3,3,1,5,green,green,red,red,partial,partial,400,150,200,150,300,250,300,50
Some,Some,5,X B,BX,low_load,Some,green,black,5,3,3,3,green,green,green,green,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,5,F M,MF,low_load,Some,blue,green,3,2,2,6,blue,blue,blue,blue,total_target,total_target,300,50,300,250,400,150,200,150
All,All,5,L H,HL,low_load,All,blue,red,1,5,5,2,red,red,red,red,null,null,400,150,200,150,300,250,300,50
All,All,5,R J,JR,low_load,All,blue,gray,5,3,2,3,gray,gray,gray,gray,null,null,300,50,300,250,400,150,200,150
All,All,5,Q X,XQ,low_load,All,green,purple,4,1,3,5,green,green,purple,purple,partial,partial,400,150,200,150,300,250,300,50
All,All,5,B X,XB,low_load,All,green,red,4,6,4,1,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
All,All,5,B Q,QB,low_load,All,green,yellow,3,3,6,4,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,J L,LJ,low_load,All,green,yellow,4,4,1,3,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,5,X L,LX,low_load,Two,red,gray,1,1,6,4,red,gray,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
8,filler_item,5,J L,LJ,low_load,Eight,blue,gray,2,6,2,4,blue,blue,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,5,L J,JL,low_load,Six,red,gray,1,5,5,4,red,red,gray,gray,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,5,F L,LF,low_load,Twelve,red,yellow,6,6,1,2,red,red,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
