n,quantifier_category,group,seq,seq_test,cognitive_load,quantifier,target_col,filler_col,t1_n,t2_n,f1_n,f2_n,t1_col,t2_col,f1_col,f2_col,overall_condition_pic,distance,t1_x,t1_y,t2_x,t2_y,f1_x,f1_y,f2_x,f2_y
4,number,5,F X M,MXF,high_load,4,blue,black,1,1,6,4,blue,blue,black,black,inferior,n-2,400,150,200,150,300,250,300,50
4,number,5,H F R,RFH,high_load,4,green,red,1,2,6,5,green,green,red,red,inferior,n-1,300,50,300,250,400,150,200,150
4,number,5,B Q F,FQB,high_load,4,green,purple,3,1,4,6,green,green,purple,purple,intermediate,n,400,150,200,150,300,250,300,50
4,number,5,L J Q,QJL,high_load,4,red,blue,2,3,5,4,red,red,blue,blue,superior,n+1,300,50,300,250,400,150,200,150
4,number,5,F J M,MJF,high_load,4,green,red,5,1,6,3,green,green,red,red,superior,n+2,300,50,300,250,400,150,200,150
4,number,5,M R J,JRM,high_load,4,red,purple,5,2,6,2,red,red,purple,purple,superior,n+3,300,50,300,250,400,150,200,150
5,number,5,F L B,BLF,high_load,5,blue,green,1,1,6,4,blue,blue,green,green,inferior,n-3,300,50,300,250,400,150,200,150
5,number,5,H Q X,XQH,high_load,5,green,blue,2,1,5,6,green,green,blue,blue,inferior,n-2,400,150,200,150,300,250,300,50
5,number,5,L X F,FXL,high_load,5,blue,yellow,1,3,2,6,blue,blue,yellow,yellow,inferior,n-1,300,50,300,250,400,150,200,150
5,number,5,J X Q,QXJ,high_load,5,blue,yellow,2,3,5,2,blue,blue,yellow,yellow,intermediate,n,300,50,300,250,400,150,200,150
5,number,5,J H L,LHJ,high_load,5,green,yellow,4,2,3,4,green,green,yellow,yellow,superior,n+1,400,150,200,150,300,250,300,50
5,number,5,L B Q,QBL,high_load,5,blue,yellow,4,3,5,4,blue,blue,yellow,yellow,superior,n+2,300,50,300,250,400,150,200,150
5,number,5,R J H,HJR,high_load,5,red,green,6,2,5,2,red,red,green,green,superior,n+3,400,150,200,150,300,250,300,50
Some,Some,5,B R H,HRB,high_load,Some,green,red,2,6,4,2,red,red,red,red,null,null,300,50,300,250,400,150,200,150
Some,Some,5,Q B L,LBQ,high_load,Some,blue,green,5,6,1,3,green,green,green,green,null,null,300,50,300,250,400,150,200,150
Some,Some,5,B R H,HRB,high_load,Some,red,yellow,3,5,3,5,red,red,yellow,yellow,partial,partial,400,150,200,150,300,250,300,50
Some,Some,5,X Q R,RQX,high_load,Some,green,red,5,6,2,3,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
Some,Some,5,R J M,MJR,high_load,Some,red,purple,3,2,6,5,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
Some,Some,5,F H X,XHF,high_load,Some,red,gray,6,5,2,3,red,red,red,red,total_target,total_target,300,50,300,250,400,150,200,150
All,All,5,Q B J,JBQ,high_load,All,green,blue,1,5,4,4,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
All,All,5,B R X,XRB,high_load,All,green,blue,3,6,6,1,blue,blue,blue,blue,null,null,300,50,300,250,400,150,200,150
All,All,5,J M L,LMJ,high_load,All,red,green,2,6,2,4,red,red,green,green,partial,partial,300,50,300,250,400,150,200,150
All,All,5,H L R,RLH,high_load,All,green,red,6,5,1,1,green,green,red,red,partial,partial,300,50,300,250,400,150,200,150
All,All,5,M X L,LXM,high_load,All,green,black,3,5,2,3,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
All,All,5,J M B,BMJ,high_load,All,green,red,4,3,3,4,green,green,green,green,total_target,total_target,400,150,200,150,300,250,300,50
2,filler_item,5,B L F,FLB,high_load,2,green,purple,1,6,4,4,green,purple,purple,purple,filler_item,filler_item,400,150,200,150,300,250,300,50
8,filler_item,5,M H Q,QHM,high_load,8,red,yellow,6,2,4,1,red,red,yellow,yellow,filler_item,filler_item,400,150,200,150,300,250,300,50
10,filler_item,5,X J F,FJX,high_load,10,green,blue,5,1,4,4,green,green,blue,blue,filler_item,filler_item,300,50,300,250,400,150,200,150
12,filler_item,5,L B Q,QBL,high_load,12,blue,gray,6,6,1,2,blue,blue,gray,gray,filler_item,filler_item,400,150,200,150,300,250,300,50
